Date,CSAT,CSAT (n),Site
2023-10-01,6.5781562761966,13.26329606599738,1
2023-11-01,6.730345947815012,10.676154698172816,1
2023-12-01,6.713328797918384,12.572804953011342,1
2024-01-01,6.680142359776626,12.091673806545536,1
2024-02-01,6.706671874937214,11.853060021061005,1
2024-03-01,6.699069303569205,12.148132665158329,1
2023-10-01,6.578612022726302,71.97315898542342,3
2023-11-01,6.570905494512628,67.93899553500353,3
2023-12-01,6.586675364790097,65.55997195760705,3
2024-01-01,6.5944935725532225,65.03669556183371,3
2024-02-01,6.5958959975445905,65.1099471739301,3
2024-03-01,6.5955175747050605,65.20781459812491,3
2023-10-01,6.54101448556741,126.67798209137909,5
2023-11-01,6.531440441622756,128.19593820739792,5
2023-12-01,6.52962778671019,128.46153242766462,5
2024-01-01,6.529291763402824,128.50801294564704,5
2024-02-01,6.529230378123767,128.51614866363207,5
2024-03-01,6.529219281004491,128.51757288496788,5
2023-10-01,6.646677915381579,72.68711512337252,8
2023-11-01,6.633022385433654,73.99660877010527,8
2023-12-01,6.641077797169505,73.7912122597553,8
2024-01-01,6.638109390043895,73.92119596154338,8
2024-02-01,6.639374006212953,73.8741416534282,8
2024-03-01,6.6388614211925425,73.89431741101977,8
2023-10-01,6.733813049240765,113.51210841025807,9
2023-11-01,6.655344553912726,127.69874542985985,9
2023-12-01,6.650107290488123,122.7068304145559,9
2024-01-01,6.657918260065658,122.37816350211659,9
2024-02-01,6.656950732683802,122.87424940890418,9
2024-03-01,6.6564448444447795,122.81245445454431,9
2023-10-01,6.67964632485217,2.8864435116534946,10
2023-11-01,6.881564606823998,2.062729683036867,10
2023-12-01,6.735195462529575,2.603507614319774,10
2024-01-01,6.837237426695824,2.216091254136984,10
2024-02-01,6.765347994053042,2.4870287535019617,10
2024-03-01,6.815850506747728,2.2963139992535275,10
2023-10-01,6.480704635033858,74.13386710340038,11
2023-11-01,6.5372310072537285,73.50975880036827,11
2023-12-01,6.5296329301783445,72.18264230002464,11
2024-01-01,6.525247450257829,72.16899938922839,11
2024-02-01,6.525599113971417,72.26351454289579,11
2024-03-01,6.52592889185374,72.26864958099881,11
2023-10-01,6.487825624889588,38.24270575976337,17
2023-11-01,6.519026811616394,48.50392028969418,17
2023-12-01,6.492229354486569,49.7161582534344,17
2024-01-01,6.494214050723187,50.89194784029141,17
2024-02-01,6.491412176058734,51.08472925927936,17
2024-03-01,6.4914811688855325,51.22226912208998,17
2023-10-01,6.460227011396227,103.55645471009103,24
2023-11-01,6.439861651301759,93.74471830274075,24
2023-12-01,6.4312160985081706,94.54539120681233,24
2024-01-01,6.4285935475319,93.88045426051559,24
2024-02-01,6.4276064971307765,93.86244325129945,24
2024-03-01,6.427283999142308,93.80866949137283,24
2023-10-01,6.640811122708776,99.26760997964311,25
2023-11-01,6.633929217484494,95.25740302277359,25
2023-12-01,6.632212997232415,94.90043272969501,25
2024-01-01,6.632861735009247,95.16131111223194,25
2024-02-01,6.632827372204618,95.1312210674962,25
2024-03-01,6.632801949062971,95.12396177715436,25
2023-10-01,6.649059710065227,85.17456222600845,26
2023-11-01,6.629927641091339,91.58935782865024,26
2023-12-01,6.609312983389941,95.13190552971503,26
2024-01-01,6.600125634791626,96.14498610458259,26
2024-02-01,6.5982180264203985,96.12568362230502,26
2024-03-01,6.598709703857169,95.93055753059161,26
2023-10-01,6.84913563950549,46.682900524224976,30
2023-11-01,6.810706359971639,44.88241278357327,30
2023-12-01,6.797078321570721,46.074008483143814,30
2024-01-01,6.787161564053058,46.25289996690972,30
2024-02-01,6.781857185188699,46.47470937198693,30
2024-03-01,6.778669564279918,46.57655977693889,30
2023-10-01,6.557486473961596,78.80389286546423,32
2023-11-01,6.563761340381392,69.24267249841678,32
2023-12-01,6.571097280383293,71.29336567417775,32
2024-01-01,6.568473849888734,71.01569917785825,32
2024-02-01,6.569026222175942,71.02284631712574,32
2024-03-01,6.568953364577418,71.03171876464597,32
2023-09-01,7.3036623781315475,4.593437615697995,34
2023-10-01,6.521357788759275,4.568909263292346,34
2023-11-01,7.446912564354507,4.068745112421702,34
2023-12-01,6.362843328598517,4.804987955279136,34
2024-01-01,7.629457644655436,3.901581713450416,34
2024-02-01,6.150454735098444,4.968903874297199,34
2023-10-01,6.691312267621383,65.98532055947854,37
2023-11-01,6.6851384090772985,55.308454071685915,37
2023-12-01,6.689734216663046,58.35083060990128,37
2024-01-01,6.687714550033956,57.473643023500316,37
2024-02-01,6.688470746195805,57.72906922135826,37
2024-03-01,6.688208471449736,57.65408417629234,37
