"Manager","Clinic","Site","lat","long","index"
"Ana","Abrams Road","37",32.8655336259028,-96.746434639975,1
"Ana","John West/Buckner","26",32.813049069192,-96.6823343920514,2
"Ana","West Garland","32",32.918446125318,-96.6611800867039,3
"Ana","Westmoreland","3",32.7561910677335,-96.8719748946588,4
"Cheryl","Duncanville","30",32.6468153556909,-96.9191378557182,5
"Cheryl","Grand Prairie","8",32.7357639284367,-97.0147075259047,6
"Cheryl","Irving","9",32.8385152105244,-96.9600004909628,7
"Cheryl","Northwest Highway","17",32.860389453251,-96.8660612173101,8
"Heather","Fruitdale","42",32.709728749863,-96.759538204459,9
"Heather","Highland Hills","10",32.6739650159905,-96.7588363780345,10
"Heather","Lake June","5",32.7350200556526,-96.7022850155424,11
"Heather","MLK Center","1",32.7696324910837,-96.7660697355036,12
"Na'Cole","East Garland","11",32.8898786607218,-96.6080270982801,13
"Na'Cole","Ledbetter","25",32.6976800487557,-96.83993117994,14
"Na'Cole","Medical District","34",32.8103276409556,-96.842215907976,15
"Na'Cole","North Dallas","24",32.9454373142196,-96.7664723817575,16
